City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,longyearbyen,78.2186,15.6401,-1.09,86,100,14.92,SJ,1675716211
83,mar del plata,-38.0023,-57.5575,21.57,64,34,5.36,AR,1675716089
84,chuy,-33.6971,-53.4616,25.31,56,100,4.07,UY,1675716223
85,xichang,27.8964,102.2634,5.34,67,3,1.34,CN,1675716223
86,bengkulu,-3.8004,102.2655,24.14,84,82,2.7,ID,1675716224
87,luena,-11.7833,19.9167,17.09,92,100,1.52,AO,1675716224
88,purpe,64.4803,76.6897,-17.54,97,100,2.92,RU,1675716224
89,phalaborwa,-23.943,31.1411,24.6,73,0,5.43,ZA,1675716142
90,egvekinot,66.3167,-179.1667,-27.27,88,100,4.71,RU,1675716224
91,geraldton,-28.7667,114.6,17.23,82,40,4.12,AU,1675716225
92,nikolskoye,59.7035,30.7861,-2.06,96,94,1.57,RU,1675716085
93,oksfjord,70.2396,22.3479,8.1,98,100,4.96,NO,1675716225
94,ahipara,-35.1667,173.1667,20.64,67,11,3.76,NZ,1675716179
95,lata,40.1629,-8.3327,12.67,66,1,2.2,PT,1675716225
96,port shepstone,-30.7414,30.455,22.6,89,0,3.87,ZA,1675716226
97,seoul,37.5683,126.9778,-0.31,93,20,1.54,KR,1675716112
98,turayf,31.6725,38.6637,6.14,52,20,9.26,SA,1675716226
99,saskylakh,71.9167,114.0833,-31.74,100,98,1.41,RU,1675716226
100,imbituba,-28.24,-48.6703,25.3,71,36,2.12,BR,1675716227
101,cape town,-33.9258,18.4232,21.18,86,20,5.14,ZA,1675716133
102,marsabit,2.3284,37.9899,20.55,41,6,3.35,KE,1675716227
103,nome,64.5011,-165.4064,-16.96,85,0,2.06,US,1675716227
104,arraial do cabo,-22.9661,-42.0278,27.98,65,75,2.06,BR,1675716132
105,kousseri,12.0769,15.0306,25.98,15,100,3.09,CM,1675716227
106,batagay,67.6333,134.6333,-46.85,99,94,0.87,RU,1675716228
